time;global_x;global_y;global_yaw;relative_x;relative_y;relative_yaw
3508026838;2.81;1.555;2.16084667357;0.327896447948;-1.55589639658;-2.8599998951
3508456945;2.81;1.555;2.16084667357;0.327685112848;-1.55595753151;-2.8599998951
3509135008;2.81;1.555;2.16084667357;0.327473777748;-1.55601866644;-2.8599998951
3553537846;2.81;1.555;2.16084667357;0.31839250707;-1.55882087951;-2.82999992371
3604188919;2.81;1.555;2.16084667357;0.309590956466;-1.5617044906;-2.81999993324
3648381948;2.81;1.555;2.16084667357;0.298638371295;-1.56550623752;-2.79999995232
3693361998;2.81;1.555;2.16084667357;0.293717524893;-1.56729520468;-2.78999996185
3699132919;2.81;1.555;2.16084667357;0.288182214723;-1.56938878229;-2.77999997139
3699881792;2.81;1.555;2.16084667357;0.288161637363;-1.56939656511;-2.77999997139
3743757963;2.81;1.555;2.16084667357;0.279102919107;-1.57293120261;-2.75999999046
3757358789;2.76;1.585;2.16220160352;0.279102919107;-1.57293120261;-2.75999999046
3789551973;2.76;1.585;2.16220160352;0.270571005247;-1.57647798383;-2.74000000954
3790729999;2.76;1.585;2.16220160352;0.269335775306;-1.57700255118;-2.74000000954
3791265964;2.76;1.585;2.16220160352;0.269315525635;-1.57701115065;-2.74000000954
3833178997;2.76;1.585;2.16220160352;0.261077188369;-1.58062900303;-2.72000002861
3878618002;2.76;1.585;2.16220160352;0.252105475742;-1.58476140996;-2.70000004768
3923159838;2.76;1.585;2.16220160352;0.242759399176;-1.58927233467;-2.68000006676
3923852920;2.76;1.585;2.16220160352;0.242535563082;-1.58938367832;-2.68000006676
3924368858;2.76;1.585;2.16220160352;0.242311726987;-1.58949502197;-2.68000006676
3973168850;2.76;1.585;2.16220160352;0.232515647103;-1.59451590556;-2.66000008583
3987891912;2.73;1.64;2.13498080487;0.232515647103;-1.59451590556;-2.66000008583
4023190021;2.73;1.64;2.13498080487;0.223145224792;-1.59957284059;-2.6400001049
4025357962;2.73;1.64;2.13498080487;0.222817294879;-1.59975266822;-2.6400001049
4035219908;2.73;1.64;2.13498080487;0.222682264922;-1.59982671488;-2.6400001049
4102968931;2.73;1.64;2.13498080487;0.213473260025;-1.60495751267;-2.61999988556
4143256903;2.73;1.64;2.13498080487;0.200610223576;-1.61246507353;-2.59999990463
4145401955;2.73;1.64;2.13498080487;0.200421708053;-1.61257848385;-2.59999990463
4146792889;2.73;1.64;2.13498080487;0.20023319253;-1.61269189417;-2.59999990463
4151990890;2.71;1.655;2.14194552103;0.20023319253;-1.61269189417;-2.59999990463
4188864946;2.71;1.655;2.14194552103;0.1928209167;-1.61726919016;-2.57999992371
4238686800;2.71;1.655;2.14194552103;0.183088333679;-1.62356886001;-2.55999994278
4249598026;2.675;1.675;2.12684549986;0.183088333679;-1.62356886001;-2.55999994278
4284510851;2.675;1.675;2.12684549986;0.174272825474;-1.62952602364;-2.52999997139
4334067821;2.675;1.675;2.12684549986;0.167084424379;-1.63464001163;-2.51999998093
4338104010;2.675;1.675;2.12684549986;0.165575169418;-1.63574411751;-2.50999999046
4339828968;2.675;1.675;2.12684549986;0.164278985789;-1.6366923496;-2.50999999046
4343081951;2.675;1.675;2.12684549986;0.163923866977;-1.63695213921;-2.50999999046
4346277952;2.675;1.675;2.12684549986;0.163568748165;-1.63721192883;-2.50999999046
4374851942;2.675;1.675;2.09755125952;0.163568748165;-1.63721192883;-2.50999999046
4383996963;2.675;1.675;2.09755125952;0.156459663641;-1.64253293349;-2.49000000954
4428969860;2.675;1.675;2.09755125952;0.149175466994;-1.64815403684;-2.48000001907
4430269956;2.675;1.675;2.09755125952;0.149053958726;-1.64824865047;-2.48000001907
4431639910;2.675;1.675;2.09755125952;0.148724150553;-1.64850545891;-2.48000001907
4433184862;2.675;1.675;2.09755125952;0.148550567298;-1.64864062125;-2.48000001907
4434638023;2.675;1.675;2.09755125952;0.148376984044;-1.64877578359;-2.48000001907
4478901863;2.675;1.675;2.09755125952;0.140555461099;-1.65498709834;-2.46000003815
4482721805;2.675;1.675;2.1148559823;0.140555461099;-1.65498709834;-2.46000003815
4525026798;2.675;1.675;2.1148559823;0.134571475686;-1.65986767842;-2.45000004768
4526546001;2.675;1.675;2.1148559823;0.134418969895;-1.65999395582;-2.45000004768
4527920961;2.675;1.675;2.1148559823;0.132402504377;-1.66166362373;-2.45000004768
4534950972;2.675;1.675;2.1148559823;0.132233053487;-1.66180393196;-2.45000004768
4536775827;2.675;1.675;2.1148559823;0.131046897308;-1.66278608955;-2.45000004768
4538193941;2.675;1.675;2.1148559823;0.130591214925;-1.66316711545;-2.44000005722
4539269924;2.675;1.675;2.1148559823;0.130372763757;-1.66335170986;-2.44000005722
4580056906;2.67;1.695;2.09060192368;0.130372763757;-1.66335170986;-2.44000005722
4583774805;2.67;1.695;2.09060192368;0.1228070437;-1.66977077507;-2.43000006676
4640054941;2.67;1.695;2.09060192368;0.114954492902;-1.67673201903;-2.41000008583
4672202825;2.65;1.7;2.10238344068;0.114954492902;-1.67673201903;-2.41000008583
4683925867;2.65;1.7;2.10238344068;0.106997223844;-1.68415260798;-2.38000011444
4729098797;2.65;1.7;2.10238344068;0.098208083201;-1.69272084571;-2.34999990463
4773896933;2.65;1.7;2.10238344068;0.0904635425252;-1.70065855793;-2.33999991417
4775024891;2.65;1.7;2.10238344068;0.0903105186006;-1.70081662021;-2.33999991417
4775874853;2.65;1.7;2.10238344068;0.0901439393628;-1.70099216324;-2.32999992371
4818996906;2.65;1.7;2.10238344068;0.0837431807332;-1.70774726074;-2.31999993324
4865192890;2.65;1.7;2.10238344068;0.0776426542698;-1.71444538177;-2.29999995232
4908798933;2.65;1.7;2.10238344068;0.0723892238362;-1.72037613736;-2.28999996185
4919358969;2.65;1.7;2.10238344068;0.0722515376167;-1.72053337445;-2.28999996185
4926651001;2.65;1.7;2.10238344068;0.0710999800833;-1.72184844839;-2.28999996185
4928183794;2.65;1.7;2.10238344068;0.0704991674791;-1.7225345739;-2.28999996185
4929334879;2.65;1.7;2.10238344068;0.0699859733682;-1.72312063945;-2.28999996185
4979281902;2.65;1.7;2.10238344068;0.062634165405;-1.73168066976;-2.26999998093
